merchant_id,merchant_name,industry,merchant_country,merchant_size,merchant_risk_category,currency,total_attempts,approved_payments,declined_payments,approval_rate_pct,approved_volume,fraud_payments,fraud_rate_pct,disputed_payments,dispute_rate_pct,gross_processing_revenue,total_losses,net_revenue,first_half_volume,second_half_volume,volume_growth_pct
M00050,"Synthetic Merchant 050",Electronics,AU,Small,High,AUD,142,122,20,85.92,48189.81,0,0.00,0,0.00,699.04,0.00,699.04,13980.75,34209.06,144.69
M00006,"Synthetic Merchant 006","Subscription Software",AU,Small,Low,AUD,220,200,20,90.91,25298.91,1,0.50,1,0.50,394.20,217.00,177.20,7796.79,17502.12,124.48
M00093,"Synthetic Merchant 093","Digital Products",AU,Small,High,AUD,141,120,21,85.11,4827.57,0,0.00,0,0.00,91.58,0.00,91.58,1631.24,3196.33,95.94
M00027,"Synthetic Merchant 027","Food Delivery",AU,Small,Low,AUD,258,235,23,91.09,5919.44,0,0.00,1,0.43,129.74,44.60,85.14,2013.12,3906.32,94.04
M00078,"Synthetic Merchant 078","Digital Products",AU,Small,Medium,AUD,150,133,17,88.67,5118.78,1,0.75,0,0.00,98.27,18.32,79.95,1299.16,3819.62,194.01
M00062,"Synthetic Merchant 062","Digital Products",AU,Medium,High,AUD,739,638,101,86.33,25035.38,5,0.78,11,1.72,478.00,398.06,79.94,7963.99,17071.39,114.36
M00097,"Synthetic Merchant 097","Food Delivery",AU,Medium,High,AUD,739,657,82,88.90,16471.99,4,0.61,9,1.37,361.89,401.91,-40.02,5563.45,10908.54,96.08
M00085,"Synthetic Merchant 085",Fashion,AU,Medium,Low,AUD,725,662,63,91.31,46687.43,3,0.45,9,1.36,785.90,866.86,-80.96,15520.71,31166.72,100.81
M00063,"Synthetic Merchant 063",Ticketing,AU,Small,High,AUD,227,195,32,85.90,26189.61,1,0.51,4,2.05,405.70,588.15,-182.45,8271.05,17918.56,116.64
M00028,"Synthetic Merchant 028","Digital Products",AU,Enterprise,Medium,AUD,2581,2286,295,88.57,89040.29,26,1.14,38,1.66,1703.89,2040.20,-336.31,28101.36,60938.93,116.85
M00017,"Synthetic Merchant 017","Digital Products",AU,Enterprise,High,AUD,2365,2044,321,86.43,78666.39,23,1.13,31,1.52,1510.01,1895.20,-385.19,26662.47,52003.92,95.05
M00075,"Synthetic Merchant 075",Travel,AU,Small,High,AUD,127,101,26,79.53,53036.84,2,1.98,2,1.98,762.70,1312.43,-549.73,15862.99,37173.85,134.34
M00088,"Synthetic Merchant 088",Marketplace,CA,Small,Medium,CAD,190,164,26,86.32,40945.35,0,0.00,2,1.22,606.06,71.31,534.75,18167.14,22778.21,25.38
M00069,"Synthetic Merchant 069",Marketplace,CA,Small,Medium,CAD,278,246,32,88.49,57878.36,0,0.00,5,2.03,859.53,697.28,162.25,21614.08,36264.28,67.78
M00039,"Synthetic Merchant 039","Subscription Software",CA,Small,Medium,CAD,250,228,22,91.20,29453.56,0,0.00,1,0.44,457.92,374.88,83.04,10211.79,19241.77,88.43
M00092,"Synthetic Merchant 092",Fashion,CA,Medium,Low,CAD,653,606,47,92.80,41588.86,1,0.17,12,1.98,703.48,692.62,10.86,14176.23,27412.63,93.37
M00100,"Synthetic Merchant 100",Fashion,CA,Small,High,CAD,111,96,15,86.49,6810.15,0,0.00,2,2.08,114.56,146.88,-32.32,2992.23,3817.92,27.59
M00038,"Synthetic Merchant 038",Fashion,CA,Small,Low,CAD,282,261,21,92.55,18110.42,1,0.38,6,2.30,305.75,393.05,-87.30,6284.46,11825.96,88.18
M00098,"Synthetic Merchant 098",Ticketing,CA,Small,High,CAD,163,136,27,83.44,18018.87,2,1.47,2,1.47,279.48,369.94,-90.46,7285.02,10733.85,47.34
M00081,"Synthetic Merchant 081","Food Delivery",CA,Enterprise,Low,CAD,2561,2377,184,92.82,60135.41,14,0.59,37,1.56,1317.43,1480.28,-162.85,21100.45,39034.96,85.00
M00003,"Synthetic Merchant 003","Digital Products",CA,Small,Medium,CAD,219,194,25,88.58,7441.78,3,1.55,4,2.06,143.04,322.84,-179.80,2347.61,5094.17,116.99
M00087,"Synthetic Merchant 087","Digital Products",CA,Enterprise,High,CAD,2000,1744,256,87.20,67467.21,22,1.26,37,2.12,1293.33,2038.51,-745.18,21291.73,46175.48,116.87
M00049,"Synthetic Merchant 049",Travel,CA,Medium,High,CAD,641,564,77,87.99,306097.34,9,1.60,10,1.77,4398.12,6279.18,-1881.06,108628.05,197469.29,81.78
M00047,"Synthetic Merchant 047",Marketplace,NL,Small,Low,EUR,296,275,21,92.91,64493.45,0,0.00,2,0.73,957.87,294.29,663.58,20485.84,44007.61,114.82
M00026,"Synthetic Merchant 026",Electronics,ES,Small,High,EUR,133,103,30,77.44,39640.52,0,0.00,0,0.00,575.59,0.00,575.59,12956.78,26683.74,105.94
M00030,"Synthetic Merchant 030",Marketplace,FR,Small,Low,EUR,230,207,23,90.00,53568.42,1,0.48,1,0.48,791.26,406.55,384.71,17688.72,35879.70,102.84
M00086,"Synthetic Merchant 086","Subscription Software",DE,Small,Low,EUR,145,131,14,90.34,15475.06,0,0.00,0,0.00,242.94,0.00,242.94,4912.14,10562.92,115.04
M00019,"Synthetic Merchant 019","Subscription Software",FR,Small,Low,EUR,254,238,16,93.70,27622.11,1,0.42,2,0.84,434.25,208.87,225.38,9498.41,18123.70,90.81
M00008,"Synthetic Merchant 008","Subscription Software",NL,Small,Low,EUR,138,128,10,92.75,14680.42,0,0.00,1,0.78,231.07,15.00,216.07,3616.25,11064.17,205.96
M00060,"Synthetic Merchant 060","Subscription Software",IT,Medium,Low,EUR,520,471,49,90.58,58107.84,2,0.42,5,1.06,907.72,694.45,213.27,19420.62,38687.22,99.21
M00013,"Synthetic Merchant 013",Ticketing,FR,Small,High,EUR,189,167,22,88.36,22887.91,1,0.60,3,1.80,353.86,158.56,195.30,8115.46,14772.45,82.03
M00035,"Synthetic Merchant 035","Subscription Software",IE,Small,Medium,EUR,132,119,13,90.15,15948.65,0,0.00,1,0.84,247.04,87.33,159.71,6499.74,9448.91,45.37
M00024,"Synthetic Merchant 024",Fashion,NL,Small,Low,EUR,207,170,37,82.13,11673.49,0,0.00,1,0.59,197.44,53.81,143.63,4386.59,7286.90,66.12
M00082,"Synthetic Merchant 082",Ticketing,DE,Small,Medium,EUR,191,165,26,86.39,22363.15,1,0.61,1,0.61,346.09,236.78,109.31,7367.66,14995.49,103.53
M00025,"Synthetic Merchant 025",Ticketing,NL,Small,High,EUR,127,114,13,89.76,14918.81,1,0.88,1,0.88,231.68,162.06,69.62,6260.53,8658.28,38.30
M00036,"Synthetic Merchant 036","Subscription Software",NL,Enterprise,Low,EUR,2005,1827,178,91.12,219720.29,11,0.60,31,1.70,3441.65,3395.44,46.21,75469.80,144250.49,91.14
M00084,"Synthetic Merchant 084",Fashion,NL,Small,Low,EUR,288,268,20,93.06,17876.17,0,0.00,2,0.75,303.88,258.02,45.86,6373.63,11502.54,80.47
M00031,"Synthetic Merchant 031","Digital Products",DE,Small,High,EUR,134,119,15,88.81,5043.11,0,0.00,1,0.84,94.39,59.21,35.18,1703.99,3339.12,95.96
M00012,"Synthetic Merchant 012","Food Delivery",DE,Small,Low,EUR,93,86,7,92.47,2162.01,1,1.16,0,0.00,47.42,17.29,30.13,771.95,1390.06,80.07
M00021,"Synthetic Merchant 021","Subscription Software",NL,Small,Low,EUR,117,110,7,94.02,13196.46,0,0.00,2,1.82,206.76,181.10,25.66,3779.89,9416.57,149.12
M00051,"Synthetic Merchant 051","Digital Products",NL,Small,Medium,EUR,179,164,15,91.62,6534.53,2,1.22,3,1.83,124.34,102.18,22.16,2103.51,4431.02,110.65
M00002,"Synthetic Merchant 002",Fashion,IT,Small,Low,EUR,199,183,16,91.96,12972.51,0,0.00,2,1.09,218.21,224.75,-6.54,4529.94,8442.57,86.37
M00076,"Synthetic Merchant 076","Food Delivery",NL,Small,Low,EUR,154,137,17,88.96,3400.68,2,1.46,2,1.46,74.94,84.94,-10.00,1179.62,2221.06,88.29
M00077,"Synthetic Merchant 077",Fashion,DE,Small,Low,EUR,143,127,16,88.81,8725.45,2,1.57,2,1.57,147.54,174.72,-27.18,3113.64,5611.81,80.23
M00058,"Synthetic Merchant 058","Food Delivery",IT,Medium,Low,EUR,392,363,29,92.60,9101.92,3,0.83,7,1.93,199.99,241.07,-41.08,3366.67,5735.25,70.35
M00080,"Synthetic Merchant 080","Food Delivery",DE,Small,Low,EUR,235,220,15,93.62,5583.37,1,0.45,5,2.27,122.13,167.26,-45.13,1833.81,3749.56,104.47
M00005,"Synthetic Merchant 005","Digital Products",NL,Small,Medium,EUR,179,162,17,90.50,5908.18,1,0.62,3,1.85,115.10,161.60,-46.50,1597.10,4311.08,169.93
M00079,"Synthetic Merchant 079",Fashion,IE,Small,Medium,EUR,248,219,29,88.31,15029.60,1,0.46,4,1.83,254.15,324.06,-69.91,5305.04,9724.56,83.31
M00001,"Synthetic Merchant 001",Fashion,IT,Small,Medium,EUR,224,204,20,91.07,14471.12,2,0.98,4,1.96,243.37,317.75,-74.38,4361.15,10109.97,131.82
M00053,"Synthetic Merchant 053",Gaming,IE,Medium,High,EUR,552,504,48,91.30,13431.47,3,0.60,13,2.58,288.88,420.06,-131.18,3978.80,9452.67,137.58
M00073,"Synthetic Merchant 073",Fashion,ES,Small,Medium,EUR,135,129,6,95.56,9131.86,4,3.10,2,1.55,153.71,285.68,-131.97,3266.30,5865.56,79.58
M00040,"Synthetic Merchant 040",Fashion,FR,Small,Low,EUR,224,206,18,91.96,13986.07,0,0.00,4,1.94,237.03,417.90,-180.87,4755.96,9230.11,94.07
M00044,"Synthetic Merchant 044",Marketplace,IE,Small,Low,EUR,122,109,13,89.34,23810.32,1,0.92,3,2.75,355.18,541.38,-186.20,7301.37,16508.95,126.11
M00083,"Synthetic Merchant 083","Food Delivery",DE,Small,Low,EUR,262,242,20,92.37,6117.13,2,0.83,7,2.89,134.03,321.93,-187.90,2151.21,3965.92,84.36
M00020,"Synthetic Merchant 020",Electronics,NL,Small,High,EUR,116,100,16,86.21,34908.63,0,0.00,2,2.00,508.66,748.54,-239.88,12104.66,22803.97,88.39
M00099,"Synthetic Merchant 099",Ticketing,IT,Medium,High,EUR,635,565,70,88.98,71577.85,4,0.71,14,2.48,1115.13,1393.38,-278.25,23513.93,48063.92,104.41
M00037,"Synthetic Merchant 037",Gaming,ES,Enterprise,Medium,EUR,2234,2000,234,89.53,54292.26,19,0.95,32,1.60,1160.03,1444.03,-284.00,18312.95,35979.31,96.47
M00071,"Synthetic Merchant 071","Subscription Software",IE,Medium,Low,EUR,719,667,52,92.77,81113.18,3,0.45,11,1.65,1268.87,1618.91,-350.04,26762.20,54350.98,103.09
M00074,"Synthetic Merchant 074",Electronics,DE,Small,High,EUR,135,121,14,89.63,47207.95,2,1.65,1,0.83,685.10,1062.29,-377.19,17785.09,29422.86,65.44
M00066,"Synthetic Merchant 066",Marketplace,IT,Small,High,EUR,234,213,21,91.03,54001.42,2,0.94,3,1.41,798.65,1257.11,-458.46,16413.81,37587.61,129.00
M00010,"Synthetic Merchant 010","Subscription Software",IE,Small,Low,EUR,210,196,14,93.33,23205.15,1,0.51,5,2.55,364.06,851.81,-487.75,7520.40,15684.75,108.56
M00011,"Synthetic Merchant 011",Ticketing,IE,Medium,High,EUR,331,295,36,89.12,38369.95,2,0.68,7,2.37,596.22,1122.18,-525.96,12190.09,26179.86,114.76
M00064,"Synthetic Merchant 064",Electronics,IE,Small,High,EUR,188,163,25,86.70,63638.98,2,1.23,4,2.45,923.52,1479.72,-556.20,22704.55,40934.43,80.29
M00014,"Synthetic Merchant 014",Ticketing,NL,Small,Medium,EUR,204,185,19,90.69,26002.03,3,1.62,9,4.86,400.99,999.58,-598.59,9806.08,16195.95,65.16
M00016,"Synthetic Merchant 016","Subscription Software",FR,Medium,Low,EUR,364,337,27,92.58,38639.82,2,0.59,8,2.37,608.32,1292.32,-684.00,13324.49,25315.33,89.99
M00065,"Synthetic Merchant 065",Fashion,DE,Enterprise,Medium,EUR,1585,1411,174,89.02,97581.48,7,0.50,34,2.41,1648.30,2454.74,-806.44,32600.94,64980.54,99.32
M00018,"Synthetic Merchant 018",Marketplace,IT,Small,Low,EUR,173,161,12,93.06,40162.39,2,1.24,2,1.24,594.40,1496.09,-901.69,13065.12,27097.27,107.40
M00042,"Synthetic Merchant 042",Ticketing,FR,Medium,High,EUR,699,600,99,85.84,77864.97,7,1.17,13,2.17,1210.16,2280.22,-1070.06,23376.83,54488.14,133.09
M00091,"Synthetic Merchant 091",Ticketing,ES,Medium,High,EUR,672,588,84,87.50,80839.56,2,0.34,14,2.38,1249.26,2623.12,-1373.86,30846.58,49992.98,62.07
M00046,"Synthetic Merchant 046",Travel,IT,Small,Medium,EUR,192,165,27,85.94,96337.35,1,0.61,6,3.64,1381.68,3604.57,-2222.89,26302.82,70034.53,166.26
M00056,"Synthetic Merchant 056",Electronics,NL,Medium,High,EUR,683,577,106,84.48,219381.37,6,1.04,10,1.73,3186.73,5800.16,-2613.43,79534.78,139846.59,75.83
M00041,"Synthetic Merchant 041",Travel,NL,Small,High,EUR,170,147,23,86.47,84115.19,1,0.68,8,5.44,1207.05,3842.35,-2635.30,33561.53,50553.66,50.63
M00007,"Synthetic Merchant 007",Travel,FR,Medium,High,EUR,806,702,104,87.10,371432.97,10,1.42,18,2.56,5340.55,14768.09,-9427.54,126137.77,245295.20,94.47
M00032,"Synthetic Merchant 032",Marketplace,GB,Small,Low,GBP,276,256,20,92.75,59426.99,0,0.00,4,1.56,883.12,396.93,486.19,20698.71,38728.28,87.10
M00055,"Synthetic Merchant 055","Food Delivery",GB,Medium,Low,GBP,789,726,63,92.02,18600.69,3,0.41,8,1.10,405.77,326.10,79.67,5978.44,12622.25,111.13
M00067,"Synthetic Merchant 067","Food Delivery",GB,Medium,Low,GBP,423,387,36,91.49,9850.06,2,0.52,7,1.81,215.30,227.74,-12.44,2984.51,6865.55,130.04
