transaction_month,currency,total_attempts,approved_payments,declined_payments,approval_rate_pct,approved_volume,fraud_payments,fraud_rate_pct,disputed_payments,dispute_rate_pct,gross_processing_revenue,fraud_losses,nonfraud_dispute_losses,net_revenue
2025-01,AUD,384,341,43,88.80,19551.88,1,0.29,4,1.17,341.92,42.65,217.65,81.62
2025-01,CAD,340,313,27,92.06,28708.29,2,0.64,4,1.28,464.57,614.83,113.00,-263.26
2025-01,EUR,795,707,88,88.93,99422.35,5,0.71,20,2.83,1533.39,407.58,2281.13,-1155.32
2025-01,GBP,366,324,42,88.52,93952.86,1,0.31,5,1.54,1380.04,279.40,158.71,941.93
2025-01,USD,282,260,22,92.20,27141.71,1,0.38,4,1.54,431.95,844.08,104.50,-516.63
2025-02,AUD,358,326,32,91.06,16803.00,1,0.31,2,0.61,300.47,51.22,42.27,206.98
2025-02,CAD,304,284,20,93.42,27753.47,3,1.06,6,2.11,445.30,128.80,232.76,83.74
2025-02,EUR,787,710,77,90.22,104518.85,2,0.28,9,1.27,1605.41,566.59,1376.88,-338.06
2025-02,GBP,328,292,36,89.02,86968.06,0,0.00,4,1.37,1275.90,0.00,1010.68,265.22
2025-02,USD,291,257,34,88.32,28150.27,0,0.00,3,1.17,445.46,0.00,228.96,216.50
2025-03,AUD,425,371,54,87.29,19697.89,3,0.81,6,1.62,349.96,96.74,398.08,-144.86
2025-03,CAD,382,341,41,89.27,36520.89,2,0.59,4,1.17,579.55,87.61,116.91,375.03
2025-03,EUR,964,869,95,90.15,119137.22,8,0.92,19,2.19,1841.61,1406.56,2333.18,-1898.13
2025-03,GBP,385,341,44,88.57,94068.58,5,1.47,7,2.05,1385.13,1178.37,2749.15,-2542.39
2025-03,USD,356,317,39,89.04,27542.77,1,0.32,3,0.95,449.00,480.61,143.30,-174.91
2025-04,AUD,461,404,57,87.64,22158.65,3,0.74,3,0.74,391.00,118.73,98.42,173.85
2025-04,CAD,427,384,43,89.93,35251.15,1,0.26,4,1.04,570.36,937.20,197.45,-564.29
2025-04,EUR,1021,937,84,91.77,117489.83,8,0.85,15,1.60,1832.22,1047.27,1978.13,-1193.18
2025-04,GBP,444,397,47,89.41,107798.03,4,1.01,9,2.27,1588.61,1990.21,2794.69,-3196.29
2025-04,USD,393,344,49,87.53,27863.70,0,0.00,4,1.16,458.85,0.00,171.33,287.52
2025-05,AUD,500,439,61,87.80,23926.94,4,0.91,3,0.68,422.75,117.62,15.00,290.13
2025-05,CAD,487,438,49,89.94,41454.88,4,0.91,7,1.60,668.00,391.84,747.31,-471.15
2025-05,EUR,1293,1169,124,90.41,166055.91,8,0.68,18,1.54,2558.61,454.28,1280.36,823.97
2025-05,GBP,501,440,61,87.82,124838.96,3,0.68,11,2.50,1835.78,256.48,1171.69,407.61
2025-05,USD,462,405,57,87.66,38036.98,1,0.25,5,1.23,613.58,29.01,162.83,421.74
