transaction_month,payment_attempts,approved_payments,declined_payments,approved_volume,confirmed_fraud,fraud_amount,disputes,gross_processing_revenue,approval_rate,fraud_rate,dispute_rate
2025-01,2167,1945,222,268777.09,10,2246.04,37,4151.87,0.8975542224273189,0.005141388174807198,0.019023136246786632
2025-02,2068,1869,199,264193.65,6,716.6099999999999,24,4072.54,0.9037717601547389,0.0032102728731942215,0.012841091492776886
2025-03,2512,2239,273,296967.35,19,3817.2,39,4605.25,0.8913216560509554,0.008485931219294328,0.017418490397498883
2025-04,2746,2466,280,310561.36,16,4118.65,35,4841.04,0.8980335032774945,0.006488240064882401,0.014193025141930252
2025-05,3243,2891,352,394313.67,20,1204.95,44,6098.72,0.8914585260561209,0.0069180214458664825,0.015219647180906262
2025-06,3814,3426,388,550254.54,18,4837.37,73,8388.84,0.8982695332983744,0.005253940455341506,0.02130764740221833
2025-07,4154,3733,421,591545.01,30,4507.38,74,9027.99,0.8986519017814155,0.008036431824270024,0.01982319849986606
2025-08,4420,3942,478,614982.22,24,3869.75,84,9397.9,0.8918552036199096,0.0060882800608828,0.0213089802130898
2025-09,3873,3429,444,464374.66,23,2303.83,64,7187.02,0.8853601859024013,0.006707494896471274,0.018664333624963548
2025-10,4570,4042,528,540178.2,88,12708.66,90,8370.63,0.8844638949671773,0.02177140029688273,0.022266204849084613
2025-11,7456,6605,851,833004.74,48,7260.4,119,12983.05,0.8858637339055794,0.007267221801665405,0.01801665404996215
2025-12,8977,7884,1093,1025138.42,52,7397.91,151,15928.79,0.8782444023615907,0.006595636732623034,0.01915271435819381
