customer_id,customer_country,account_created_at,customer_segment,historical_orders,historical_chargebacks,email_age_days,usual_device_id,lifetime_value
C000001,IE,2025-07-30,New,1,0,168,DEV000001,85.72
C000002,CA,2023-01-10,Occasional,5,0,1393,DEV000002,833.97
C000003,US,2025-05-10,Occasional,2,1,543,DEV000003,326.34
C000004,DE,2025-02-02,Occasional,4,0,1022,DEV000004,683.87
C000005,GB,2025-11-12,New,0,0,605,DEV000005,0.0
C000006,US,2024-08-22,Occasional,3,0,898,DEV000006,241.11
C000007,ES,2024-10-26,Occasional,1,0,799,DEV000007,71.78
C000008,DE,2023-12-28,Occasional,1,0,788,DEV000008,31.25
C000009,US,2023-06-17,Occasional,6,0,988,DEV000009,471.35
C000010,CA,2025-01-02,New,0,0,979,DEV000010,0.0
C000011,CA,2022-12-12,Returning,16,0,1672,DEV000011,868.44
C000012,US,2025-07-18,Occasional,1,0,609,DEV000012,151.85
C000013,ES,2025-12-09,New,1,0,387,DEV000013,143.88
C000014,NL,2024-08-31,Returning,18,0,989,DEV000014,1247.86
C000015,AU,2020-05-25,Returning,14,0,2514,DEV000015,1212.31
C000016,IE,2022-01-09,Returning,18,0,1612,DEV000016,941.78
C000017,ES,2025-05-12,Occasional,3,0,959,DEV000017,186.01
C000018,IE,2023-05-10,Occasional,5,0,1648,DEV000018,297.67
C000019,DE,2025-12-20,New,0,0,575,DEV000019,0.0
C000020,AU,2024-09-19,Occasional,3,0,674,DEV000020,361.62
C000021,FR,2023-06-25,Returning,19,0,1474,DEV000021,2852.12
C000022,AU,2020-01-15,Returning,14,0,2727,DEV000022,1351.69
C000023,FR,2025-06-06,Occasional,4,0,892,DEV000023,406.91
C000024,IE,2025-11-11,New,0,2,272,DEV000024,0.0
C000025,DE,2025-02-06,New,0,0,687,DEV000025,0.0
C000026,US,2025-06-26,New,0,0,889,DEV000026,0.0
C000027,CA,2025-04-21,New,2,0,839,DEV000027,225.95
C000028,GB,2025-10-16,New,0,0,548,DEV000028,0.0
C000029,DE,2023-09-03,Returning,15,0,1469,DEV000029,2284.4
C000030,US,2024-09-27,Occasional,6,0,636,DEV000030,423.95
C000031,IT,2025-02-02,New,0,0,649,DEV000031,0.0
C000032,FR,2018-02-25,Loyal,26,0,3102,DEV000032,1123.33
C000033,CA,2019-02-12,Returning,16,0,3003,DEV000033,1889.81
C000034,ES,2025-04-30,Occasional,1,0,329,DEV000034,35.35
C000035,IE,2023-06-11,Occasional,2,0,1616,DEV000035,308.95
C000036,US,2025-09-24,New,1,0,133,DEV000036,102.05
C000037,ES,2025-11-22,New,2,0,663,DEV000037,193.46
C000038,ES,2022-04-06,Occasional,4,1,1729,DEV000038,575.89
C000039,FR,2022-11-29,Returning,7,0,1451,DEV000039,487.22
C000040,CA,2023-05-05,Occasional,5,0,1521,DEV000040,176.29
C000041,DE,2024-07-20,Returning,13,0,601,DEV000041,1522.62
C000042,NL,2023-04-08,Occasional,4,0,1217,DEV000042,355.32
C000043,GB,2024-02-13,Occasional,3,0,1397,DEV000043,281.19
C000044,CA,2025-10-07,New,1,0,236,DEV000044,62.65
C000045,GB,2023-06-24,Occasional,3,0,1291,DEV000045,378.16
C000046,FR,2023-01-25,Occasional,2,0,1501,DEV000046,220.02
C000047,CA,2022-11-02,Loyal,34,0,1628,DEV000047,1521.1
C000048,AU,2023-07-25,Loyal,68,0,1065,DEV000048,9138.62
C000049,US,2025-11-29,New,2,0,338,DEV000049,126.28
C000050,IT,2024-05-14,Occasional,5,0,1178,DEV000050,293.13
C000051,ES,2024-08-11,Returning,9,0,1154,DEV000051,183.63
C000052,CA,2024-01-09,Occasional,1,0,1283,DEV000052,83.89
C000053,ES,2025-12-22,New,2,0,193,DEV000053,287.38
C000054,FR,2022-09-11,Occasional,5,0,1591,DEV000054,569.73
C000055,AU,2019-05-08,Loyal,20,0,2681,DEV000055,2102.85
C000056,FR,2019-12-22,Returning,17,0,2275,DEV000056,1777.64
C000057,US,2020-01-02,Loyal,66,0,2502,DEV000057,8628.08
C000058,US,2022-01-30,Returning,14,0,1832,DEV000058,633.5
C000059,FR,2025-01-02,New,1,0,386,DEV000059,113.2
C000060,FR,2023-01-07,Occasional,4,0,1090,DEV000060,204.81
C000061,ES,2024-09-05,Returning,8,0,499,DEV000061,815.38
C000062,FR,2023-12-14,Returning,16,0,1321,DEV000062,2136.83
C000063,FR,2024-07-07,Occasional,1,0,1184,DEV000063,52.06
C000064,CA,2022-06-09,Occasional,5,0,1989,DEV000064,526.28
C000065,IT,2022-03-31,Occasional,4,0,1587,DEV000065,97.43
C000066,GB,2025-08-26,New,2,0,347,DEV000066,44.75
C000067,IT,2023-12-03,Returning,13,0,1345,DEV000067,716.43
C000068,US,2024-07-30,Returning,6,0,743,DEV000068,312.64
C000069,AU,2024-06-09,Occasional,6,0,1225,DEV000069,1002.33
C000070,IT,2020-02-21,Returning,13,0,2800,DEV000070,480.72
C000071,DE,2023-06-29,Loyal,56,0,1262,DEV000071,4035.93
C000072,AU,2019-02-09,Returning,22,0,2527,DEV000072,524.32
C000073,IT,2025-11-18,New,0,0,556,DEV000073,0.0
C000074,AU,2024-07-10,Returning,11,0,873,DEV000074,351.73
C000075,FR,2023-08-02,Occasional,6,0,1250,DEV000075,812.28
C000076,CA,2025-12-29,New,0,0,391,DEV000076,0.0
C000077,DE,2022-07-27,Occasional,3,0,1638,DEV000077,280.54
