dispute_id,payment_id,dispute_date,dispute_reason,disputed_amount,dispute_fee,dispute_status,resolution_date,recovered_amount,net_dispute_loss
D000001,P0046123,2025-02-12,Subscription Cancelled,8.28,15.0,Lost,2025-02-25,0.0,23.28
D000002,P0038253,2025-01-30,Duplicate Payment,38.14,15.0,Lost,2025-02-16,0.0,53.14
D000003,P0040481,2025-01-11,Product Not Received,213.54,15.0,Won,2025-02-04,213.54,15.0
D000004,P0018025,2025-01-10,Product Unacceptable,273.38,15.0,Pending,,0.0,288.38
D000005,P0027879,2025-01-27,Product Unacceptable,127.67,15.0,Won,2025-03-12,127.67,15.0
D000006,P0044159,2025-01-31,Processing Error,32.08,15.0,Won,2025-02-18,32.08,15.0
D000007,P0044691,2025-02-03,Product Unacceptable,37.18,15.0,Lost,2025-03-03,0.0,52.18
D000008,P0047429,2025-02-25,Subscription Cancelled,222.67,15.0,Lost,2025-03-06,0.0,237.67
D000009,P0014833,2025-01-16,Duplicate Payment,9.42,15.0,Won,2025-02-10,9.42,15.0
D000010,P0024893,2025-01-17,Product Unacceptable,749.89,15.0,Lost,2025-02-15,0.0,764.89
D000011,P0004688,2025-01-14,Subscription Cancelled,68.16,15.0,Pending,,0.0,83.16
D000012,P0024287,2025-02-05,Fraudulent,16.66,15.0,Lost,2025-03-17,0.0,31.66
D000013,P0002664,2025-03-02,Duplicate Payment,65.7,15.0,Lost,2025-03-11,0.0,80.7
D000014,P0004321,2025-02-19,Subscription Cancelled,39.63,15.0,Pending,,0.0,54.63
D000015,P0047157,2025-03-06,Subscription Cancelled,11.43,15.0,Lost,2025-04-04,0.0,26.43
D000016,P0011334,2025-02-15,Product Not Received,25.36,15.0,Lost,2025-02-26,0.0,40.36
D000017,P0039513,2025-02-09,Subscription Cancelled,17.83,15.0,Won,2025-03-16,17.83,15.0
D000018,P0012126,2025-02-23,Fraudulent,264.4,15.0,Lost,2025-04-04,0.0,279.4
D000019,P0015455,2025-02-23,Product Not Received,23.6,15.0,Lost,2025-03-06,0.0,38.6
D000020,P0042219,2025-02-20,Processing Error,40.0,15.0,Won,2025-03-27,40.0,15.0
D000021,P0025694,2025-03-10,Subscription Cancelled,98.37,15.0,Lost,2025-04-09,0.0,113.37
D000022,P0011881,2025-02-27,Processing Error,169.63,15.0,Won,2025-04-13,169.63,15.0
D000023,P0044409,2025-03-23,Product Unacceptable,44.62,15.0,Pending,,0.0,59.62
D000024,P0008569,2025-02-07,Subscription Cancelled,125.41,15.0,Won,2025-03-06,125.41,15.0
D000025,P0011005,2025-02-04,Product Unacceptable,63.4,15.0,Lost,2025-03-14,0.0,78.4
D000026,P0004189,2025-02-17,Processing Error,29.29,15.0,Lost,2025-02-28,0.0,44.29
D000027,P0047252,2025-02-23,Subscription Cancelled,169.54,15.0,Lost,2025-03-19,0.0,184.54
D000028,P0044059,2025-03-09,Subscription Cancelled,18.93,15.0,Lost,2025-04-22,0.0,33.93
D000029,P0047253,2025-02-10,Fraudulent,117.5,15.0,Won,2025-03-23,117.5,15.0
