merchant_id,merchant_name,industry,merchant_country,onboarding_date,merchant_size,risk_category,platform_type,reserve_rate,expected_monthly_volume
M00001,Synthetic Merchant 001,Fashion,IT,2021-01-03,Small,Medium,Direct,0.069,39251.29
M00002,Synthetic Merchant 002,Fashion,IT,2023-12-07,Small,Low,Direct,0.0285,33973.93
M00003,Synthetic Merchant 003,Digital Products,CA,2024-06-10,Small,Medium,Direct,0.0631,33424.9
M00004,Synthetic Merchant 004,Fashion,US,2023-10-17,Small,High,Marketplace,0.1323,13758.74
M00005,Synthetic Merchant 005,Digital Products,NL,2024-08-12,Small,Medium,Direct,0.0687,19662.14
M00006,Synthetic Merchant 006,Subscription Software,AU,2021-11-07,Small,Low,Subscription,0.0126,26406.72
M00007,Synthetic Merchant 007,Travel,FR,2023-02-24,Medium,High,Marketplace,0.095,424516.91
M00008,Synthetic Merchant 008,Subscription Software,NL,2024-01-10,Small,Low,Subscription,0.0236,11288.86
M00009,Synthetic Merchant 009,Ticketing,US,2022-05-11,Small,High,Direct,0.1325,25651.21
M00010,Synthetic Merchant 010,Subscription Software,IE,2022-11-05,Small,Low,Subscription,0.0234,26199.33
M00011,Synthetic Merchant 011,Ticketing,IE,2020-06-14,Medium,High,Direct,0.0943,63868.03
M00012,Synthetic Merchant 012,Food Delivery,DE,2022-03-08,Small,Low,Marketplace,0.0147,7623.62
M00013,Synthetic Merchant 013,Ticketing,FR,2022-07-11,Small,High,Direct,0.1231,23287.41
M00014,Synthetic Merchant 014,Ticketing,NL,2024-01-27,Small,Medium,Direct,0.0589,25784.48
M00015,Synthetic Merchant 015,Subscription Software,US,2022-06-27,Small,Low,Subscription,0.0189,22145.96
M00016,Synthetic Merchant 016,Subscription Software,FR,2021-07-04,Medium,Low,Subscription,0.0118,103102.66
M00017,Synthetic Merchant 017,Digital Products,AU,2023-10-28,Enterprise,High,Direct,0.1323,3726005.85
M00018,Synthetic Merchant 018,Marketplace,IT,2022-03-31,Small,Low,Marketplace,0.0281,25509.93
M00019,Synthetic Merchant 019,Subscription Software,FR,2022-09-26,Small,Low,Subscription,0.0271,39133.38
M00020,Synthetic Merchant 020,Electronics,NL,2023-08-07,Small,High,Direct,0.122,8799.99
M00021,Synthetic Merchant 021,Subscription Software,NL,2020-12-09,Small,Low,Subscription,0.0129,9653.13
M00022,Synthetic Merchant 022,Travel,US,2022-12-09,Small,High,Direct,0.0977,31591.2
M00023,Synthetic Merchant 023,Travel,GB,2020-04-28,Enterprise,High,Marketplace,0.1089,2708181.47
M00024,Synthetic Merchant 024,Fashion,NL,2024-09-09,Small,Low,Direct,0.0166,28430.26
M00025,Synthetic Merchant 025,Ticketing,NL,2022-09-18,Small,High,Marketplace,0.1143,9885.91
M00026,Synthetic Merchant 026,Electronics,ES,2023-05-13,Small,High,Direct,0.1315,9848.34
M00027,Synthetic Merchant 027,Food Delivery,AU,2022-09-26,Small,Low,Direct,0.0266,41371.32
M00028,Synthetic Merchant 028,Digital Products,AU,2021-08-02,Enterprise,Medium,Direct,0.0402,4712196.07
M00029,Synthetic Merchant 029,Electronics,US,2020-10-03,Small,High,Subscription,0.1299,45085.66
M00030,Synthetic Merchant 030,Marketplace,FR,2024-06-20,Small,Low,Marketplace,0.0254,34774.76
M00031,Synthetic Merchant 031,Digital Products,DE,2020-01-10,Small,High,Direct,0.0893,10524.11
M00032,Synthetic Merchant 032,Marketplace,GB,2024-02-27,Small,Low,Marketplace,0.022,44355.29
M00033,Synthetic Merchant 033,Fashion,US,2022-07-01,Small,Medium,Subscription,0.0358,5627.13
M00034,Synthetic Merchant 034,Gaming,US,2021-02-23,Small,High,Direct,0.1105,36241.81
M00035,Synthetic Merchant 035,Subscription Software,IE,2020-02-15,Small,Medium,Subscription,0.0596,10897.6
M00036,Synthetic Merchant 036,Subscription Software,NL,2020-08-14,Enterprise,Low,Subscription,0.016,2698628.2
