payment_id,transaction_timestamp,merchant_id,customer_id,amount,currency,processing_fee,payment_method,card_type,card_network,issuer_country,billing_country,ip_country,device_type,device_id,is_new_device,is_new_customer,is_cross_border,country_mismatch_flag,velocity_1h,authentication_used,authentication_result,risk_score,decision,authorisation_status,decline_reason,confirmed_fraud,refund_status
P0004693,2025-01-01 00:01:04,M00017,C002316,45.21,AUD,0.83,Card,Debit,Visa,GB,GB,GB,Desktop,DEV002316,0,0,1,0,1,1,Successful,32,Approve,Approved,Not Applicable,0,Not Refunded
P0043213,2025-01-01 00:39:48,M00095,C004448,283.54,GBP,4.17,Card,Debit,Mastercard,GB,GB,GB,Mobile,DEV004448,0,0,0,0,1,1,Successful,23,Approve,Approved,Not Applicable,0,Not Refunded
P0047874,2025-01-01 00:41:14,M00023,C003680,1022.72,GBP,14.52,Card,Debit,Mastercard,GB,GB,GB,Mobile,DEV003680,0,0,0,0,1,0,Not Attempted,28,Approve,Declined,Issuer Decline,0,Not Refunded
P0031576,2025-01-01 00:54:17,M00034,C005766,28.57,USD,0.6,Card,Debit,Visa,NL,NL,NL,Mobile,NEWDEV431973,1,0,1,0,1,1,Successful,49,Approve,Approved,Not Applicable,0,Not Refunded
P0017855,2025-01-01 01:16:45,M00069,C007132,330.48,CAD,4.83,Bank Transfer,Not Applicable,Not Applicable,ES,ES,ES,Mobile,DEV007132,0,0,1,0,1,0,Not Attempted,18,Approve,Approved,Not Applicable,0,Not Refunded
P0031506,2025-01-01 01:20:39,M00049,C007232,428.73,CAD,6.2,Card,Debit,Visa,GB,GB,GB,Mobile,DEV007232,0,0,1,0,1,0,Not Attempted,22,Approve,Approved,Not Applicable,0,Not Refunded
P0048119,2025-01-01 01:23:23,M00066,C009540,108.61,EUR,1.72,Digital Wallet,Credit,Visa,IT,IT,IT,Mobile,DEV009540,0,0,0,0,1,1,Successful,16,Approve,Approved,Not Applicable,0,Not Refunded
P0013898,2025-01-01 01:34:04,M00056,C001559,127.84,EUR,1.99,Digital Wallet,Credit,Mastercard,AU,AU,US,Mobile,DEV001559,0,0,1,1,1,1,Successful,51,Approve,Approved,Not Applicable,0,Fully Refunded
P0042507,2025-01-01 02:26:06,M00090,C007129,74.02,USD,1.24,Digital Wallet,Debit,Mastercard,GB,GB,GB,Mobile,DEV007129,0,0,1,0,1,0,Not Attempted,12,Approve,Approved,Not Applicable,0,Not Refunded
P0012978,2025-01-01 03:08:38,M00062,C004189,14.81,AUD,0.41,Card,Credit,Amex,ES,ES,ES,Mobile,DEV004189,0,0,1,0,1,1,Successful,40,Approve,Approved,Not Applicable,0,Not Refunded
P0036429,2025-01-01 03:13:02,M00094,C002299,35.11,GBP,0.69,Digital Wallet,Debit,Mastercard,FR,FR,FR,Desktop,DEV002299,0,0,1,0,1,1,Successful,30,Approve,Approved,Not Applicable,0,Not Refunded
P0047422,2025-01-01 03:23:55,M00028,C004477,58.09,AUD,1.01,Card,Debit,Visa,IE,IE,IE,Desktop,DEV004477,0,0,1,0,1,0,Not Attempted,27,Approve,Approved,Not Applicable,0,Not Refunded
P0020133,2025-01-01 03:47:38,M00068,C006791,223.57,GBP,3.33,Bank Transfer,Not Applicable,Not Applicable,US,US,US,Mobile,DEV006791,0,0,1,0,1,0,Not Attempted,18,Approve,Approved,Not Applicable,0,Not Refunded
P0023727,2025-01-01 03:59:56,M00099,C001107,33.51,EUR,0.67,Card,Debit,Visa,GB,GB,GB,Mobile,DEV001107,0,0,1,0,1,1,Failed,35,Approve,Declined,Authentication Failed,0,Not Refunded
P0014438,2025-01-01 04:22:42,M00034,C001145,31.78,USD,0.64,Card,Debit,Visa,IT,IT,IT,Desktop,DEV001145,0,0,1,0,1,0,Not Attempted,28,Approve,Declined,Issuer Decline,0,Not Refunded
P0032891,2025-01-01 04:25:36,M00023,C000511,151.81,GBP,2.33,Digital Wallet,Debit,Visa,CA,CA,GB,Mobile,DEV000511,0,0,1,1,1,1,Successful,58,Approve,Approved,Not Applicable,0,Not Refunded
P0007121,2025-01-01 04:27:04,M00043,C007069,11.0,USD,0.35,Card,Credit,Mastercard,CA,CA,CA,Mobile,DEV007069,0,0,1,0,1,1,Successful,39,Approve,Approved,Not Applicable,0,Not Refunded
P0022269,2025-01-01 04:34:57,M00010,C002363,122.24,EUR,1.91,Card,Debit,Visa,AU,AU,AU,Desktop,DEV002363,0,0,1,0,1,0,Not Attempted,5,Approve,Approved,Not Applicable,0,Not Refunded
P0014605,2025-01-01 04:41:10,M00014,C007578,111.66,EUR,1.76,Card,Credit,Visa,DE,DE,DE,Desktop,NEWDEV226628,1,0,1,0,1,1,Successful,47,Approve,Approved,Not Applicable,0,Not Refunded
P0014846,2025-01-01 05:26:05,M00056,C005169,373.79,EUR,5.43,Card,Debit,Visa,IT,IT,IT,Mobile,DEV005169,0,0,1,0,1,1,Successful,32,Approve,Approved,Not Applicable,0,Not Refunded
P0018216,2025-01-01 05:38:44,M00017,C001328,104.49,AUD,1.66,Card,Debit,Mastercard,FR,FR,FR,Mobile,DEV001328,0,0,1,0,1,1,Successful,35,Approve,Approved,Not Applicable,0,Not Refunded
P0041139,2025-01-01 05:47:12,M00095,C001902,434.47,GBP,6.28,Digital Wallet,Debit,Mastercard,IT,IT,NL,Mobile,DEV001902,0,0,1,1,1,1,Successful,52,Approve,Approved,Not Applicable,0,Fully Refunded
P0042628,2025-01-01 05:47:19,M00055,C002383,21.93,GBP,0.51,Card,Debit,Visa,FR,FR,FR,Mobile,DEV002383,0,0,1,0,1,0,Not Attempted,18,Approve,Approved,Not Applicable,0,Not Refunded
P0039359,2025-01-01 05:51:39,M00068,C001030,498.17,GBP,7.17,Card,Credit,Visa,DE,DE,CA,Desktop,DEV001030,0,0,1,1,1,1,Successful,37,Approve,Approved,Not Applicable,0,Not Refunded
P0033980,2025-01-01 06:01:18,M00079,C003878,31.73,EUR,0.64,Card,Debit,Visa,CA,CA,CA,Mobile,DEV003878,0,0,1,0,1,1,Successful,17,Approve,Approved,Not Applicable,0,Not Refunded
P0032944,2025-01-01 06:12:17,M00017,C001783,54.43,AUD,0.96,Card,Debit,Mastercard,IE,IE,IE,Mobile,DEV001783,0,0,1,0,1,1,Successful,30,Approve,Approved,Not Applicable,0,Not Refunded
P0022798,2025-01-01 06:32:45,M00071,C006894,75.3,EUR,1.25,Card,Debit,Mastercard,DE,DE,DE,Mobile,DEV006894,0,0,1,0,1,0,Not Attempted,5,Approve,Approved,Not Applicable,0,Not Refunded
P0013794,2025-01-01 06:52:22,M00058,C004010,17.31,EUR,0.44,Digital Wallet,Credit,Amex,DE,DE,DE,Mobile,DEV004010,0,0,1,0,1,1,Successful,19,Approve,Approved,Not Applicable,0,Not Refunded
P0014179,2025-01-01 07:04:02,M00017,C001830,10.52,AUD,0.35,Digital Wallet,Credit,Mastercard,NL,NL,NL,Desktop,DEV001830,0,0,1,0,1,0,Not Attempted,27,Approve,Approved,Not Applicable,0,Not Refunded
P0046423,2025-01-01 10:06:37,M00081,C003144,28.99,CAD,0.61,Digital Wallet,Debit,Mastercard,ES,ES,IE,Desktop,DEV003144,0,0,1,1,1,0,Not Attempted,21,Approve,Approved,Not Applicable,0,Not Refunded
P0017733,2025-01-01 10:26:49,M00055,C007418,21.89,GBP,0.51,Digital Wallet,Debit,Mastercard,IE,IE,IE,Mobile,DEV007418,0,0,1,0,1,0,Not Attempted,14,Approve,Approved,Not Applicable,0,Not Refunded
